City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Terra Santa,BR,79.23,broken clouds,-2.1042,-56.4869,Hotel Sarah
563,Tual,ID,83.1,moderate rain,-5.6667,132.75,Grand Vilia Hotel
564,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
568,Pemangkat,ID,80.98,light rain,1.1667,108.9667,Ramah Kost KITA
572,San Fernando,PH,75.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
573,Charters Towers,AU,85.75,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
577,Moerai,PF,78.55,broken clouds,-22.4333,-151.3333,Le Manotel
578,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
584,San Policarpo,PH,80.01,broken clouds,12.1791,125.5072,Agapita M. Nicart
590,Mackay,AU,87.67,scattered clouds,-21.15,149.2,International Lodge Motel
595,Port-Gentil,GA,80.56,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
598,Wad Madani,SD,77.79,clear sky,14.4012,33.5199,فندق يوغسلافيا
600,Key West,US,75.99,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
608,Sulangan,PH,80.92,scattered clouds,11.1373,123.7228,Maia's Beach Resort
612,Acapulco,MX,79.88,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
616,Richards Bay,ZA,77.5,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
617,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
618,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
619,Kailua,US,75.07,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
621,Pangascasan,PH,75.25,overcast clouds,16.1169,120.0866,Masamirey Cove Resort
627,Wairoa,NZ,80.55,overcast clouds,-39.0333,177.3667,Riverside Motor Camp
632,Mareeba,AU,87.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
635,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
636,San Juan,AR,81.07,scattered clouds,-31.5375,-68.5364,Hotel Provincial
643,Ternate,ID,82.26,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
644,Coracao De Jesus,BR,77.72,few clouds,-16.6853,-44.365,Hotel Neves
648,Neiafu,TO,81.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
649,Auki,SB,79.27,moderate rain,-8.7676,160.7034,Auki Motel
656,Salawagan,PH,76.41,overcast clouds,7.7053,125.115,Violeta B. Cardona
657,Sao Joao Da Barra,BR,75.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
