City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Urucara,BR,-2.5364,-57.76,77.77,76,61,2.01,broken clouds
137,Arlit,NE,18.7369,7.3853,67.37,18,3,5.12,clear sky
138,Buchanan,LR,5.8808,-10.0467,75.16,82,54,4.88,broken clouds
139,Hilo,US,19.7297,-155.09,74.93,91,90,11.5,heavy intensity rain
140,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,85,36,3.47,scattered clouds
141,Amambai,BR,-23.1042,-55.2258,77.9,48,20,1.97,few clouds
142,Vardo,NO,70.3705,31.1107,7.0,80,27,20.2,scattered clouds
143,Gobabis,NA,-22.45,18.9667,67.73,14,0,7.38,clear sky
144,Cap Malheureux,MU,-19.9842,57.6142,78.48,70,14,5.99,few clouds
145,Avarua,CK,-21.2078,-159.775,82.45,78,75,8.05,light rain
146,Vaini,TO,-21.2,-175.2,84.36,84,40,11.5,scattered clouds
147,Clyde River,CA,70.4692,-68.5914,10.63,85,100,27.63,light snow
148,Klaksvik,FO,62.2266,-6.589,38.32,63,73,19.77,broken clouds
149,Iqaluit,CA,63.7506,-68.5145,10.13,66,90,15.99,light snow
150,Abha,SA,18.2164,42.5053,53.42,43,0,0.0,clear sky
151,Belmonte,BR,-15.8631,-38.8828,77.5,84,0,4.54,clear sky
152,Tono,JP,39.3167,141.5333,25.63,74,9,3.8,clear sky
153,Okha,RU,53.5739,142.9478,11.7,92,80,6.2,broken clouds
154,Blind River,CA,46.1834,-82.9582,28.65,93,100,19.17,snow
155,Camocim,BR,-2.9022,-40.8411,81.48,78,65,14.65,broken clouds
156,Jieshi,CN,22.8134,115.8257,57.94,53,32,8.68,scattered clouds
157,Paratinga,BR,-12.6906,-43.1842,72.16,86,83,4.18,broken clouds
158,Tessalit,ML,20.1986,1.0114,65.57,17,62,8.48,broken clouds
159,Zhezkazgan,KZ,47.8043,67.7144,31.5,93,100,6.78,overcast clouds
160,Morgan City,US,29.6994,-91.2068,73.04,94,1,4.61,clear sky
161,Chuy,UY,-33.6971,-53.4616,64.2,87,96,6.08,overcast clouds
162,Surt,LY,31.2089,16.5887,56.17,37,0,18.21,clear sky
163,Alekseyevsk,RU,57.8406,108.3492,20.17,95,100,6.8,light snow
164,Victoria,HK,22.2855,114.1577,64.33,57,39,1.01,scattered clouds
165,Alice Springs,AU,-23.7,133.8833,78.35,41,0,9.22,clear sky
166,Jamestown,US,42.097,-79.2353,44.33,37,90,8.01,overcast clouds
167,Chokurdakh,RU,70.6333,147.9167,-42.57,99,56,5.79,broken clouds
168,Porto Novo,BJ,6.4965,2.6036,84.02,84,96,7.36,overcast clouds
169,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.77,85,51,9.57,broken clouds
170,Acari,PE,-15.4311,-74.6158,71.19,78,100,4.47,light rain
171,Tiksi,RU,71.6872,128.8694,-15.79,95,100,6.53,overcast clouds
172,Warrington,GB,53.3925,-2.5802,39.97,93,40,4.61,scattered clouds
173,Sitka,US,57.0531,-135.33,35.49,75,90,8.05,light snow
174,Cape Town,ZA,-33.9258,18.4232,61.27,90,75,1.99,moderate rain
175,Morehead,US,37.2711,-87.1764,66.85,82,90,8.01,light rain
176,Luanda,AO,-8.8368,13.2343,80.6,83,75,9.22,light rain
177,Naze,JP,28.3667,129.4833,65.32,69,63,17.54,broken clouds
178,Bosaso,SO,11.2842,49.1816,73.58,71,15,3.04,few clouds
179,Padang,ID,-0.9492,100.3543,73.45,84,98,3.47,overcast clouds
180,Aksu,CN,41.1231,80.2644,29.89,46,100,0.69,overcast clouds
181,Ampanihy,MG,-24.7,44.75,72.64,77,0,4.23,clear sky
