City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
65,Henties Bay,NA,2021-12-05 23:42:29,-22.116,14.2845,58.86,92,0,8.86
66,Vanimo,PG,2021-12-05 23:42:25,-2.6741,141.3028,86.41,66,76,2.75
67,Arraial Do Cabo,BR,2021-12-05 23:42:19,-22.9661,-42.0278,75.16,88,20,16.11
68,Castro,BR,2021-12-05 23:42:12,-24.7911,-50.0119,63.75,86,98,0.72
69,Bredasdorp,ZA,2021-12-05 23:39:44,-34.5322,20.0403,59.29,95,100,9.33
70,Whyalla,AU,2021-12-05 23:42:35,-33.0333,137.5833,66.09,82,90,9.22
71,Palmas,BR,2021-12-05 23:42:35,-10.2128,-48.3603,78.67,89,20,2.3
72,Benjamin Constant,BR,2021-12-05 23:42:36,-4.3831,-70.0311,78.93,99,93,1.92
73,Antofagasta,CL,2021-12-05 23:42:36,-23.65,-70.4,63.68,76,58,2.51
74,La Brea,HN,2021-12-05 23:42:37,15.8,-85.9667,74.08,93,28,0.74
75,Tuatapere,NZ,2021-12-05 23:42:37,-46.1333,167.6833,55.81,49,82,7.47
76,Mugur-Aksy,RU,2021-12-05 23:42:37,50.35,90.5,11.3,48,100,5.64
77,Ustka,PL,2021-12-05 23:42:37,54.5805,16.8619,33.31,87,98,17.34
78,Barrow,US,2021-12-05 23:41:09,71.2906,-156.7887,12.22,79,90,21.85
79,Tautira,PF,2021-12-05 23:42:38,-17.7333,-149.15,86.02,73,83,17.76
80,Touros,BR,2021-12-05 23:42:38,-5.1989,-35.4608,81.5,78,56,15.32
81,Conceicao Da Barra,BR,2021-12-05 23:37:59,-18.5933,-39.7322,74.35,86,6,6.24
82,Yuancheng,CN,2021-12-05 23:42:39,36.652,107.7896,29.98,41,14,5.93
83,Kodiak,US,2021-12-05 23:39:38,57.79,-152.4072,31.51,80,90,0.0
84,Great Yarmouth,GB,2021-12-05 23:38:25,52.6083,1.7305,41.45,75,79,8.66
85,Lebu,CL,2021-12-05 23:42:14,-37.6167,-73.65,58.46,81,0,14.0
86,Hobart,AU,2021-12-05 23:39:53,-42.8794,147.3294,67.26,57,75,1.99
87,New Norfolk,AU,2021-12-05 23:42:11,-42.7826,147.0587,66.92,39,50,6.96
88,Trapani,IT,2021-12-05 23:42:39,37.8333,12.6667,53.35,82,40,12.66
89,Naze,JP,2021-12-05 23:42:40,28.3667,129.4833,65.32,69,63,17.54
90,Waipawa,NZ,2021-12-05 23:43:40,-41.4122,175.5153,52.45,95,100,7.36
91,Ribeira Grande,PT,2021-12-05 23:42:20,38.5167,-28.7,64.18,71,87,9.15
92,Roebourne,AU,2021-12-05 23:43:41,-20.7833,117.1333,94.51,20,33,18.14
93,Hithadhoo,MV,2021-12-05 23:41:08,-0.6,73.0833,81.28,79,90,12.15
94,Pevek,RU,2021-12-05 23:43:41,69.7008,170.3133,-9.83,96,100,16.51
95,Severo-Kurilsk,RU,2021-12-05 23:43:41,50.6789,156.125,32.18,80,95,17.05
96,Labytnangi,RU,2021-12-05 23:43:42,66.6572,66.4183,-14.89,90,58,7.43
97,Abu Samrah,SY,2021-12-05 23:41:15,35.3029,37.1841,50.25,53,3,3.65
98,Marsh Harbour,BS,2021-12-05 23:42:33,26.5412,-77.0636,77.14,75,3,14.5
99,Zyryanka,RU,2021-12-05 23:43:42,65.75,150.85,-44.82,97,78,5.44
100,Puerto Baquerizo Moreno,EC,2021-12-05 23:40:09,-0.9,-89.6,68.38,88,33,10.94
101,Vardo,NO,2021-12-05 23:43:27,70.3705,31.1107,7.0,80,27,20.2
102,Nemuro,JP,2021-12-05 23:42:22,43.3236,145.575,38.89,69,3,14.83
103,Saint-Pierre,RE,2021-12-05 23:41:05,-21.3393,55.4781,76.64,70,0,6.91
104,Saldanha,ZA,2021-12-05 23:43:43,-33.0117,17.9442,60.85,92,20,15.75
105,Maceio,BR,2021-12-05 23:42:15,-9.6658,-35.7353,76.44,94,75,1.14
106,Alofi,NU,2021-12-05 23:37:09,-19.0595,-169.9187,80.49,78,76,16.11
107,Bakchar,RU,2021-12-05 23:43:44,57.0186,82.0711,28.69,89,100,12.1
108,Kedrovyy,RU,2021-12-05 23:43:44,56.1667,91.8167,30.87,87,99,11.27
109,Bima,ID,2021-12-05 23:43:44,-8.4667,118.7167,77.27,94,100,1.88
